ClauseLikeUnit(CLU)-value,Regularity,Negation,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,LitTransl-value,FreeTransl-value,Duration,N-function-value,N-manual-value,N-nonmanual-value,N-position-value,HeadNegationStudy-value,CA-value,MouthGestF-value,Mouthing-value,MouthingNegation-value,NegSingleClausesMouthing-negator,RH-IDgloss-value,LH-IDgloss-value
BM13F39WHC_CLU#054,Regular,Negated clause,Single,NA,NA,then-my-turn drive nothing (I did not drive at all),I didn't get a turn at driving!,1520,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS , HS",NA,NA,"then turn, drive, noth(ing)",Single,nothing,"NEXT, DRIVE, NOTHING","NEXT, DRIVE, NOTHING"
BM13F39WHC_CLU#056,Irregular,Negated clause,Single,NA,NA,me not-yet plan next-year,I don't know what to plan for next year yet.,1560,Neg/declarative,Single,Present,pre-predicate,"HS , NHS ",NA,NA,"me, not yet, plan, next year",Single,not,"PT:PRO1SG, NOT-YET, PLAN, NEXT-YEAR","PLAN, NEXT-YEAR"
BM13F39WHC_CLU#069,Irregular,Negated clause,Single,NA,NA,me (have not) booked nothing/not-yet,I haven't booked.,1640,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,"i, have(n't) booked",Single,haven't,"PT:PRO1SG, BOOKED, NOTHING/NOT-YET",NA
BM13F39WHC_CLU#082,Regular,Negated clause,Single,NA,NA,no (that's) impossible,That's impossible - I think it would take about ten hours to get there.,1110,Neg/declarative,Single,Present,other,HS,NA,NA,"no, impossible",Single,Multiple?,"G:WELL, IMPOSSIBLE(FALSE-START), IMPOSSIBLE","G:WELL, IMPOSSIBLE(FALSE-START), IMPOSSIBLE"
BM13F39WHC_CLU#103,Regular,Negated clause,Single,NA,NA,hotel stay-there hotel no (we not stay in the hotel),"Well, I didn't want to stay at the hotel.",1190,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,NA,"stay, ho(tel)",Absent,Absent,"ACCOMMODATION, ACCOMMODATION, NO","ACCOMMODATION, ACCOMMODATION, NO"
BM13F39WHC_CLU#111,Regular,Negated clause,Single,NA,NA,(like) me (not) finish that-one-there,We could go there again and finish doing things that we hadn't done.,1178,Neg/response,Absent,Present,NA,HS,NA,NA,"like, not, finish",Single,not,"PT:PRO1SG, FINISH, PT:LOC/PT:PRO3SG","PT:PRO1SG, FINISH"
BM13F39WHC_CLU#126,Irregular,Negated clause,Single,NA,NA,not-know me,I don't know.,440,Neg/response,Single,Present,other,NHS,NA,NA,i don't know,Single,don't,"KNOW-NOT, PT:PRO1SG",NA
BM14F36WHC_CLU#023,Regular,Negated clause,Single,NA,NA,me (didn't) say anything/nothing no,"I didn't say anything, though, because I was exploring Sandbanks beach. ",910,Neg/declarative,Multiple,Present,other,HS,NA,NA,"m(e), say, nothing",Single,nothing,"PT:PRO1SG, SAY, NOTHING, NO","NOTHING, NO"
BM14F36WHC_CLU#031,Irregular,Negated clause,Single,NA,NA,(no they are not) married not-yet,"They're not married yet, they're partners.",870,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),HS,NA,SYLL:SHH,married,Absent,Absent,"SPOUSE, NOT-YET","SPOUSE, NOT-YET"
BM14F36WHC_CLU#049,Regular,Negated clause,Single,NA,NA,me (not) see-each-her nothing walking-around (no),We didn't see her around. ,1710,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),HS,CA:SIGNER,PRESSED-LIPS ,NA,Absent,Absent,"PT:PRO1SG, LOOK02, NOTHING, WALK-AROUND","LOOK02, NOTHING, WALK-AROUND"
BM14F36WHC_CLU#065,Regular,Negated clause,Fragment,NA,NA,(no not) that-one,"No, Michelle was the second one, followed by baby Holly.",480,Neg/response,Absent,Present,NA,HS,NA,NA,NA,Absent,N/A,PT:PRO3SG,NA
BM14F36WHC_CLU#069,Regular,Negated clause,Single,NA,NA,first-one (me cannot) remember name well,I can't remember the eldest one's name.,1350,Neg/declarative,Absent,Present,NA,"HS, NHS, HS",NA,PRESSED-LIPS,"first, can('t) remem(ber), name",Single,can't,"PT:LBUOY, RANKING, REMEMBER, NAME, G:WELL",LBUOY
BM14F36WHC_CLU#096,Regular,Negated clause,Single,NA,NA,she (did not) recognise me,"I realised it was her, but she didn't recognise me! ",790,Neg/declarative,Absent,Present,NA,HS,NA,NA,"not, re(cog)nise, me",Single,not,"PT:PRO3SG, RECOGNISE, PT:PRO1SG",RECOGNISE
BM14F36WHC_CLU#109,Regular,Negated clause,Single,NA,NA,(jetski not) allowed this-area-around-here,"They aren't allowed in the main part, only on the left hand side.",510,Neg/declarative,Absent,Present,NA,"HS, NHS",NA,NA,"not, all(ow)",Single,not,"ALLOW, AREA",ALLOW
BM14F36WHC_CLU#113,Irregular,Negated clause,Single,NA,NA,over-there cannot do-there the beach there (no),We weren't allowed on that bit because it was dangerous.,1710,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,can't,Single,can't,"PT:DET, CAN-NOT, THERE, PT:DET, BEACH, PT:","PT:LOC, BEACH, PT:LOC"
BM21F44WDC_CLU#043,Regular,Negated clause?,Single,NA,NA,same hearing Olympics that (or) no?,Was it as professional as the hearing Olympics?,1914,Neg/alternative,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,"same, hearing, olympics",Absent,N/A,"PT:PRO, SAME, HEARING, OLYMPIC, PT:PRO3SG, NO","FBUOY, SAME, PBUOY/FBUOY, OLYMPIC"
BM21F44WDC_CLU#054,Regular,Negated clause?,Single,NA,NA,(you don't know?),You don't know who came first?,429,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,N/A,G:WELL,FBUOY
BM21F44WDC_CLU#059,Regular,Constituent negation?,Depend,NA,dependent,(when) nothing (on),"When nothing was on, you went  out.",322,NA,Single,Present,other,HS,NA,NA,nothing,Single,N/A,NOTHING,NA
BM21F44WDC_CLU#065,Regular,Negated clause,Single,NA,NA,(you) think focus football (only) well (no can't do that),You couldn't just focus on the football.,1749,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,"think, football",Absent,Absent,"THINK, CONCENTRATE, KICK, G:WELL","FBUOY, CONCENTRATE, KICK, FBUOY"
BM21F44WDC_CLU#069,Regular,Negated clause,Embed,contained,NA,me nothing tempted (I am not tempted to visit Australia),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",1317,Neg/declarative,Single,Present,pre-predicate,"HS, NHS",NA,NA,"me, nothing",Single,N/A,"PT:PRO1SG, NOTHING, TEMPT",LBUOY
BM21F44WDC_CLU#072,Regular,Negated clause,Single,NA,NA,(but) me not (want visit there/have not visited there),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",391,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,Absent,"NOTHING, PT:PRO1SG",LBUOY
BM21F44WDC_CLU#073,Regular,Negated clause,Single,NA,NA,secondly Australia me that-one nothing (I have not visited/I am not going there),"I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",1700,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,australia,Absent,Absent,"PT:LBUOY, PT:, AUSTRALIA, PT:, PT:LBUOY, NOTHING",LBUOY-TWO
BM21F44WDC_CLU#074,Regular,Negated clause,Depend,NA,independent,"so-called ""British"" speaking countries me nothing tempt (not tempted to visit them)","I'm strange because I have no desire to visit English speaking countries like America or Australia, although I know everyone says I should. ",2873,Neg/declarative,Single,Present,pre-predicate,"NHS, HS ",NA,NA,"british, country, nothing",Single,N/A,"TITLE, BRITAIN, SPEECH, COUNTRY, REGION, PT:PRO1SG, NOTHING, TEMPT","TITLE, BRITAIN, FBUOY, PBUOY, TEMPT"
BM21F44WDC_CLU#083,Regular,Negated clause,Single,NA,NA,well (I don't know),I don't know.,653,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,Absent,G:WELL,G:WELL
BM21F44WDC_CLU#091,Regular,Negated clause,Single,NA,NA,pub (not typical like ours),And about their pubs...,751,Neg/response,Absent,Present,NA,HS,NA,NA,pub,Absent,Absent,DRINK,NA
BM21F44WDC_CLU#126,Regular,Negated clause,Single,NA,NA,me (not) finish all-there (I haven't been to all those places yet),"Really, there are plenty of countries in Europe and I haven't been to them all.",1308,Neg/declarative,Absent,Present,NA,HS,NA,NA,"i, finish, all",Absent,Absent,"PT:PRO1SG, FINISH, ALL","FBUOY, FINISH, ALL"
BM21F44WDC_CLU#150,Regular,Negated clause,Embed,contained,NA,not with mafia mafia-sign-like-this no (mafia),But they said it was nothing to do with the mafia. ,2636,Neg/response,Multiple,Present,reprise (clause-final),HS,CD:TV-SHOW,NA,"not, with, mafia, mafia",Single,N/A,"NO, LINK, FS:MAFIA, MAFIA, NO","NO, LINK, FS:MAFIA, MAFIA, NO"
BM21F44WDC_CLU#151,Regular,Negated clause,Single,NA,NA,(they) say (not) mafia,But they said it was nothing to do with the mafia. ,667,Neg/response,Absent,Present,NA,HS,NA,NA,"say, no mafia",Single,no,"SAY, MAFIA","FBUOY, MAFIA"
BM21F44WDC_CLU#153,Regular,Negated clause,Single,NA,NA,(they) say not (to do with) mafia no,It was nothing to do with the mafia.,1066,Neg/response,Multiple,Present,reprise (clause-final),HS,NA,NA,"say, not do, wi(th) mafia",Single,not,"SAY, NO, MAFIA, NO","FBUOY, NO, MAFIA, FBUOY"
BM22F36WDC_CLU#027,?,Negated clause,Single,NA,NA,me not-mind (going there) again,I didn't mind seeing them again.,1190,Neg/declarative,Single,Present,other,HS,NA,NA,"i, don't mind, again",Single,don't,"PT:PRO1SG, PROBLEM-NOT, AGAIN",PROBLEM-NOT
BM22F36WDC_CLU#029,Regular,Negated clause,Embed,contained,NA,me fly-there same again (no I didn't want that),But I didn't plan to travel over there in the same way again.,2195,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,same,Absent,N/A,"PT:PRO1SG, LANDING, SAME, AGAIN",SAME
BM22F36WDC_CLU#072,Irregular,Negated clause,Single,NA,NA,(he) cannot play final,"Unfortunately, Chris was injured and couldn't play in the final.",1185,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, play, final",Single,can't,"CAN-NOT, PLAY, FINAL","CAN-NOT, PLAY, FINAL"
BM22F36WDC_CLU#074,Regular,Negated clause,Single,NA,NA,then-that-game (no) final (he cannot play the final),"He played in the matches leading up to it, but not the final.",1756,Neg/response,Absent,Present,NA,HS,NA,NA,final,Absent,Absent,"PT:PRO3SG/PT:LOC , FINAL, G:WELL","FBUOY , FINAL, G:WELL"
BM22F36WDC_CLU#081,Regular,Negated clause,Single,NA,NA,but before Olympics no (he was not captain),"He was captain for Europe, but not for the Olympics.",1668,Neg/response,Single,Present,other,"NHS, HS ",NA,NA,"(be)fore, olympics",Absent,Absent,"BUT, BEFORE, OLYMPIC","BEFORE, OLYMPIC, NO"
BM22F36WDC_CLU#091,Irregular,Negated clause,Single,NA,NA,me not-know who those-people,but I didn't know who they were,987,Neg/declarative,Single,Present,other,HS,NA,NA,"don't know, who",Single,don't,"PT:PRO1SG, KNOW-NOT, WHO, PT:PRO3SG, PT:PRO3SG",KNOW-NOT
BM22F36WDC_CLU#103,Regular,Negated clause,Single,NA,NA,(can't) remember who that-one-there ,"The person was kind of like an official, walking behind the identifying banners, but I can't remember who represented Great Britain.",952,Neg/declarative,Absent,Present,NA,"NHS, Nod",NA,NA,"can't remem(ber), who",Single,can't,DSEW(1-VERT)-AT:HUMAN,"REMEMBER, WHO, PT:PRO3SG"
BM22F36WDC_CLU#116,Regular,Negated clause,Single,NA,NA,scores well-me-don't-know (no),I don't know the scores.,1200,Neg/response,Absent,Present,NA,HS,NA,NA,no,Single,no,"MATHS, G:WELL","MATHS, G:WELL"
BM22F36WDC_CLU#117,Irregular,Negated clause ,Single ,NA,NA,me not-know that/them/there,"I didn't know because they had an information room, but I didn't go there.",995,Neg/response,Single,Present,other,HS,NA,NA,"i, didn't know, XXX",Single,didn't,"PT:PRO1SG, KNOW-NOT, PT:PRO3SG",NA
BM22F36WDC_CLU#119,Regular,Negated clause,Depend? ,NA,dependent,(but) me (didn't) go-there,"I didn't know because they had an information room, but I didn't go there.",469,Neg/declarative,Absent,Present,other,HS,NA,NA,"me, didn't, go",Single,N/A,"PT:PRO1SG, GO-TO, PT:LOC",NA
LN03F47WDC_CLU#002,Regular,Constituent negation,Depend,NA,independent,should (be) non-smoking,Yes you're not supposed to smoke there but he ignored the rules.,1005,NA,Absent,Present,NA,HS,NA,NA,"should be, not smo(ke)",Single,N/A,NA,"SHOULD, NO/SMOKE-CIGARETTE"
LN03F47WDC_CLU#007,Regular,Negated clause,Single,NA,NA,"no, no (it's) not safe","You're right, it's not safe.",1639,Neg/response,Multiple,Present,other,HS,NA,NA,"not, safe",Single,not,"NO, NOT, SAFE","NOT, SAFE"
LN03F47WDC_CLU#036,Irregular,Negated clause,Single,NA,NA,nothing no-one-else (in) the office there,"Holding my papers, I was in a difficult position and the office was empty.",1515,Neg/declarative,Multiple,Present,other,NHS,NA,SYLL:POOH,office,Absent,Absent,"NOT-HAVE, NOTHING, EMPTY/CLEAN/MEANING, OFFICE, PT:LOC","NOTHING, EMPTY/CLEAN/MEANING"
LN03F47WDC_CLU#058,Regular,Negated clause,Single,NA,NA,me stuck-can't-do-anything ,I simply pointed that he was blind and the boss apologised as he let him in.,1180,Neg/declarative,Absent,Present,NA,"NHS, HS",CA:SIGNER,NA,NA,Absent,Absent,"PT:PRO1SG, G:WELL, G:CA:STANDING-STILL",NA
LN03F47WDC_CLU#075,Regular,Constituent negation,Embed,contained,NA,she (not) confident (and) she new person,"The boss explained to the blind man that I was deaf, with not much confidence and a new recruit!",1545,NA,Absent,Present,NA,"HS, NHS ",CD:SIGNER'S-BOSS,NA,"no, confid(ent), sh(e), new",Single,N/A,"PT:PRO3SG, CONFIDENT, PT:PRO3SG, NEW, PERSON","PT:PRO3SG, NEW"
LN03F47WDC_CLU#097,Regular,Negated clause,Single,NA,NA,(no) nothing me not-allowed (to) work,I'm not allowed to work at the moment.,2200,Neg/response,Absent,Present,NA,HS,NA,NA,"nothing, not allowed",Multiple,Multiple,"NOTHING, PT:PRO1SG, ALLOW, WORK","NOTHING, ALLOW, WORK"
LN03F47WDC_CLU#103,Regular,Negated clause,Single,NA,NA,both-twins (not deaf) no,Not both twins are deaf.,710,Neg/response,Single,Present,other,HS,NA,NA,both,Absent,Absent,"PT:PRO3PL-TWO, NO","PT:PRO3PL-TWO, NO"
LN03F47WDC_CLU#118,Regular,Negated clause,Single,NA,NA,they-there (not have) English/they-there (have no) English,In October I'll be working with deaf people who has a low level in language with no English.,1134,Neg/declarative,Absent,Present,NA,HS,NA,NA,no English,Single,no,ENGLAND,"ENGLAND, PT:PRO3SG"
LN03F47WDC_CLU#126,Irregular,Negated clause,Embed,post-container,NA,(children who) can't eat,"My role covered everything from being a nursery nurse, to translating and from working with learning difficulty people to feeding via a trachea tube.",585,Neg/declarative,Single,Present,pre-predicate,HS,NA,NA,"can't, eat",Single,N/A,"CAN-NOT, EAT",CAN-NOT
LN03F47WDC_CLU#134,Regular,Negated clause,EmbedDepend,contained,dependent,(but there's) nothing catching (you can't catch anything),"But well, it wasn't necessary. They reassured me that the child wasn't contagious but you can never be sure with all the outbreaks.",1415,Neg/declarative,Single,Present,pre-predicate,"NHS, HS ",CD:SIGNER'S-BOSS,NA,"but, nothing",Single,N/A,"G:WELL, NOTHING, CATCH","NOTHING, CATCH"
LN03F47WDC_CLU#142,Regular,Negated clause,EmbedDepend,contained+contained,dependent,(you) don't touch (it),They explained me to avoid touching that area but I had used a pair of see through plastic gloves without people watching as we didn't want to upset her.,653,Neg/declarative,Single,Present,pre-predicate,HS,CD:SIGNER'S-BOSS,NA,"not/don't, touch",Single,N/A,"NOT, TOUCH02",TOUCH02
LN03F47WDC_CLU#146,Regular,Constituent negation,Single,NA,NA,nobody (can) see (it/us/me),They explained me to avoid touching that area but I had used a pair of see through plastic gloves without people watching as we didn't want to upset her.,690,NA,Single,Present,pre-predicate,NHS,NA,NA,"nobody, see",Single,N/A,"NOTHING, LOOK02","NOTHING, LOOK02"
LN03F47WDC_CLU#147,Regular,Negated clause,Embed,pre-container,NA,don't-want,They explained me to avoid touching that area but I had used a pair of see through plastic gloves without people watching as we didn't want to upset her.,310,Neg/declarative,Absent,Present,other,NHS,NA,NA,don't want,Single,N/A,WANT,NA
LN03F47WDC_CLU#159,Regular,Negated clause,Single,NA,NA,no (can't do that),She was restless as she was only two years old.,475,Neg/response,Absent,Present,NA,HS,NA,NA,NA,Absent,Absent,PT:PRO3SG,G:CA:HOLD-OBJECT
LN04F41WHC_CLU#004,Irregular,Negated clause,EmbedDepend,contained,dependent,but British Rail not-yet (have the smoking ban),Do you recall the time when the smoking ban was extended from the Underground to the British Rail.,2235,Neg/declarative,Single,Present,post-predicate (non-reprise & clause-final),"NHS, HS",NA,SYLL:SHH,"bu(t), British, Rail",Absent,N/A,"BUT, FS:B-BRITISH, TRAIN, NOT-YET","FS:B-BRITISH, FBuoy, NOT-YET"
LN04F41WHC_CLU#022,Regular,Negated clause ,Single,NA,NA,right not allowed no (smoking in that carriage/at that time) sorry,"Sorry I made a mistake, it was the no-smoking part of the carriage in the train.",1595,Neg/declarative,Single,Present,pre-predicate,"Nod1, HS",NA,NA,"right, not, allowed to smoke, sorry",Single,not,"RIGHT, NOT, ALLOW, NO, SORRY","NOT, NO, G:RIGHT"
LN04F41WHC_CLU#023,Regular,Negated clause,Single,NA,NA,not-allowed (smoking),"Sorry I made a mistake, it was the no-smoking part of the carriage in the train.",670,Neg/imperative,Absent,Present,NA,HS,NA,NA,not allowed,Single,not,ALLOW,ALLOW
LN04F41WHC_CLU#025,Regular,Negated clause,Single,NA,NA,here (in this carriage) no smoking,"Sorry I made a mistake, it was the no-smoking part of the carriage in the train.",940,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,"here, no, smoke",Single,no,"PT:LOC, NOTHING, SMOKE-CIGARETE","PT:LOC, PBuoy"
LN04F41WHC_CLU#027,Regular,Negated clause,Single,NA,NA,here (was) non-smoking,"Yes they were separate areas and of course, I was in the non-smoking area of the carriage.",955,Neg/declarative,Single,Present,pre-predicate,"NHS, HS, NHS",NA,NA,"me, here, no, smoke",Single,no,"PT:PRO1SG, PT:LOC, NOT, SMOKE-CIGARETE","FBuoy, NOT, FBuoy"
LN04F41WHC_CLU#028,Regular,Constituent negation,Single,NA,NA,of-course me (in) non-smoking carriage me,"Yes they were separate areas and of course, I was in the non-smoking area of the carriage.",1705,NA,Single,Present,pre-predicate,"NHS, HS1, NHS",NA,NA,"of course, of course-prog, don't, smoke, carriage",Single,N/A,"OF-COURSE, PT:PRO1SG, NOT, SMOKE-CIGARETE, COACH, PT:PRO1SG","OF-COURSE, NOT, COACH"
LN04F41WHC_CLU#047,Irregular,Negated clause,EmbedDepend,contained,independent,(no me) cannot,"He smirked at me then but if that was to take place today, I couldn't put myself in that position.",1755,Neg/response,Single,Present,other,HS1,NA,NA,can't,Single,N/A,CAN-NOT,CAN-NOT
LN04F41WHC_CLU#048,Irregular,Negated clause,Single,NA,NA,(me) can't!,I couldn't!,470,Neg/imperative,Single,Present,other,HS1,NA,NA,can't,Single,can't,CAN-NOT,CAN-NOT
LN04F41WHC_CLU#070,Irregular,Negated clause,Single,NA,NA,(oh) no me can't communicate with blind people either (same as you),Oh I couldn't communicate with blind people either!,1830,Neg/response,Multiple,Present,other,HS,NA,NA,"I, can't, communicate, blind, same",Single,can't,"NO, PT:PRO1SG, CAN-NOT, COMMUNICATE, BLIND, SAME02","CAN-NOT, COMMUNICATE"
LN04F41WHC_CLU#071,Regular,Constituent negation,Single,NA,NA,(you) hope (he'd hear/notice) nothing,Hoping he'd never notice you!,1330,NA,Single,Present,post-predicate (non-reprise & clause-final),NHS,NA,NA,nothing,Single,N/A,"HOPE, NOTHING",HOPE
LN04F41WHC_CLU#093,Regular,Negated clause,Embed,contained,NA,(you) alright? (not) tired?,"It was how I had breathed, he asked if I was tired but I was fine.",830,Neg/declarative,Absent,Present,NA,"NHS, HS1",CD:COLLEAGUE,NA,"you alright, not tired",Single,N/A,"GOOD, TIRED","GOOD, TIRED"
LN04F41WHC_CLU#097,Regular,Negated clause,Single,NA,NA,since-then (me) walking breathing (not the) same again ,My walking behaviour hasn't been the same since.,2630,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,"walk and, breathe, not the same, again",Single,not,"SINCE, WALK, BREATHE, SAME, AGAIN","SINCE, WALK, FBuoy, SAME, AGAIN"
LN04F41WHC_CLU#104,Regular,Negated clause,Single,NA,NA,"(but with) hearing (people) me (no, I can't do that)",But it's an all change walking with hearing people. ,1040,Neg/response,Absent,Present,NA,"NHS, HS",NA,NA,hearing,Absent,Absent,"HEARING, PT:PRO1SG",FBuoy
LN04F41WHC_CLU#109,Regular,Negated clause,Single,NA,NA,(not) fit me,I'm overweight and not fit. ,870,Neg/declarative,Absent,Present,NA,NHS,NA,NA,not fit,Single,not,"HEALTHY, PT:PRO1SG",HEALTHY
LN04F41WHC_CLU#111,Irregular,Negated clause,Single,NA,NA,(me) could-never/(me) impossible,"I couldn't do that, I'd be out of breath! ",475,Neg/declarative,Single,Present,other,HS1,NA,SYLL:POOH,NA,Absent,Absent,CAN-NOT,NA
LN04F41WHC_CLU#115,Regular,Negated clause,SharedCecho,NA,NA,(you not) allowed (to work)?,You're not allowed?,1035,Neg/interrogative,Absent,Present,NA,HS,NA,NA,you're not allowed,Single,N/A,ALLOW,ALLOW
LN04F41WHC_CLU#116,Regular,Negated clause,Single,NA,NA,(so) nothing/not (working at the moment)?,So nothing for now?,1470,Neg/response,Single,Present,other,HS,NA,PRESSED-LIPS,NA,Absent,Absent,NOTHING,NOTHING
LN04F41WHC_CLU#143,Regular,Negated clause,Single,NA,NA,(her) parents (are not) responsible (for) feeding-her?,Isn't her parents responsible for feeding her?,2315,Neg/interrogative,Absent,Present,NA,"HS, NHS",NA,NA,"mother, father, responsible",Absent,Absent,"MUM, FATHER, INDECIPHERABLE, AWARD, RESPONSIBILITY, G:WELL","FATHER, INDECIPHERABLE, AWARD"
LN04F41WHC_CLU#153,Irregular,Negated clause,DependEmbed?,contained,independent,(it's) impossible me teach impossible impossible (for) me,It's strange as I couldn't imagine working as a teacher while in school but you have managed to do it?,2145,Neg/reprise,Multiple,Present,other,"HS, NHS, HS",NA,NA,"impo(ssible), teach, impo(ssible), impo(ssible)",Multiple,N/A,"CAN-NOT, PT:PRO1SG, TEACH, CAN-NOT, CAN-NOT, PT:PRO1SG","CAN-NOT, PT:PRO1SG, TEACH, CAN-NOT, CAN-NOT, FBuoy"
LN04F41WHC_CLU#163,Regular,Negated clause,Single,NA,NA,not (easier for the) children,They only want to make their lives easier and forget their children's needs.,935,Neg/declarative,Single,Present,other,"HS, NHS",NA,NA,"not for, child(ren)",Single,not,"NOT, CHILD","NOT, CHILD"
"LN04F41WHC_CLU#171, LN04F41WHC_CLU#172",Irregular,Negated clause ,Embed,"pre-container, contained",NA,"me not-know, s/he speaking-behind-me","As I proceed to order, unbeknown to me the hearing person would talk over me and I'd follow the eyeline of the waiter and ask the hearing person not to do it.",1710,Neg/declarative,Single,Present,other,"HS, NHS",NA,NA,"I, didn't know",Single,N/A,"PT:PRO1SG, KNOW-NOT, PT:PRO1SG",SPEECH
LN04F41WHC_CLU#176,Regular,Negated clause,Single,NA,NA,"(me say) ""hey please don't (speak for me)""","As I proceed to order, unbeknown to me the hearing person would talk over me and I'd follow the eyeline of the waiter and ask the hearing person not to do it.",1560,Neg/imperative,Single,Present,other,Nod,CD:SIGNER,NA,"please, don't",Single,don't,"G:RIGHT, PLEASE, NOT",NA
LN05M58WDC_CLU#013,Regular,Negated clause,Single,NA,NA,crowd (not) full (no),It wasn't a full house with just 26 thousand fans. ,1225,Neg/declarative,Absent,Present,NA,HS,NA,PRESSED-LIPS,"crowd, full",Absent,Absent,"FLOCK, FULL, G:WELL","FLOCK, FULL, G:WELL"
LN05M58WDC_CLU#015,Regular,Negated clause,Single,NA,NA,tomorrow they again challenge-match? no,I'm not attending tomorrow's game but the papers are reporting less attendance. ,2070,Neg/response,Single,Present,post-predicate (non-reprise & clause-final),"NHS , HS",NA,PRESSED-LIPS,"tomorrow, again",Absent,Absent,"TOMORROW, PT:, AGAIN, AGAINST, NO","AGAINST, NO"
LN05M58WDC_CLU#018,Regular,Negated clause,Single,NA,NA,me phooey (not bother attending match),I'm off on a holiday instead.,550,Neg/declarative,Single,Present,other,HS,CA:SIGNER,PRESSED-LIPS,NA,Absent,Absent,"PT:PRO1SG, G:DISMISS",G:DISMISS
LN05M58WDC_CLU#025,Regular,Negated clause?,Single,NA,NA,"me that (no, I don't have a season ticket)",No I don't have a season ticket.,885,Neg/response,Absent,Present,NA,HS,NA,PRESSED-LIPS,NA,Absent,N/A,"PT:PRO1SG, PT:",PT:PRO1SG
LN05M58WDC_CLU#026,Regular,Negated clause,Single,NA,NA,regular (season) ticket no (not have),No I don't have a season ticket.,1505,Neg/declarative,Single,Present,other,"NHS, HS",NA,NA,"regular, ticket",Absent,Absent,"REGULAR, TICKET, NO","REGULAR, TICKET, FBuoy"
LN05M58WDC_CLU#032,Regular,Negated clause,Depend,NA,dependent,if me (don't) want go,It wouldn't be an issue if I didn't want to go which is just as well as I work on some Saturdays. ,1230,Neg/declarative,Single,Present,other,"NHS, HS ",NA,NA,"if, don't want, go",Single,N/A,"IF, PT:PRO1SG, WANT, GO","IF, GO"
LN05M58WDC_CLU#035,Regular,Negated clause?,Depend?,NA,independent,well (can't go to match),It wouldn't be an issue if I didn't want to go which is just as well as I work on some Saturdays. ,390,Neg/declarative,Absent,Present,NA,HS,NA,NA,NA,Absent,N/A,G:WELL,G:WELL
LN05M58WDC_CLU#036,Regular,Negated clause,Depend ,NA,dependent,if me nothing (not working),Otherwise I'd apply to watch.,830,Neg/declarative,Single,Present,other,"NHS, HS+Nod",NA,NA,if,Absent,N/A,"IF, PT:PRO1SG, NOTHING","IF, NOTHING"
LN05M58WDC_CLU#047,Regular,Negated clause,Single,NA,NA,but me (not) regular (attend/punter at their games),But I seldom attend like for the important games against Liverpool or Manchester United. ,1390,Neg/declarative,Absent,Present,NA,"NHS, HS ",NA,NA,"but, not, regular",Single,not,"BUT, PT:PRO1SG, REGULAR",REGULAR
LN05M58WDC_CLU#063,Regular,Negated clause,Depend,NA,dependent,(not) goalposts-there (with visible view of field),One of my friend has a season ticket literally behind the goal. ,385,Neg/declarative,Absent,Present,NA,HS,NA,NA,NA,Absent,N/A,DSEW(HORNS)-BE,DSEW(HORNS)-BE
LN05M58WDC_CLU#072,Regular,Negated clause,Embed,contained,NA,see far-there (from the back) through-goalposts see-there goal (no it wasn't a goal),I felt nausea as I sat as it was difficult to see the ball flying across the net. ,1750,Neg/declarative,Absent,Present,NA,"NHS, HS",NA,NA,"back, lo(ok), goal",Absent,N/A,"LOOK, PT:LOC, LOOK, GOAL02","CLL:GOALPOSTS, CLL:GOALPOSTS, DSEW(HORNS)-BE, GOAL02"
LN05M58WDC_CLU#075,Regular,Negated clause,Depend?,NA,dependent,(but no it was actually) going-this-way (and hard to see/couldn't see),They looked as if they were going into the net. ,1075,Neg/declarative,Absent,Present,NA,"NHS, HS",CA:SIGNER,NA,that way,Absent,N/A,PT:LOC,FBUOY:GOAL02
LN05M58WDC_CLU#081,Regular,Negated clause,Single,NA,NA,if-- me (don't think it) will (be) full (house),I don't think it would be a full house then.,1620,Neg/declarative,Absent,Present,NA,"NHS , HS ",NA,NA,"if, won't, full",Single,won't,"IF, PT:, WILL, FULL","IF, FULL"
